,cue,association,explanation,relation
0,ability,capability,ability is the capability to do a particular job.,Synonym
1,absolute,sure,"if something is absolute, you can be sure about it.",Synonym
2,adept,smart,a smart person is very adept at learning.,HasProperty
4,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase
5,agent,person,an agent is a person who acts on behalf of another person.,Thematic
8,airport,runway,the runway at the airport is for planes to take off and land.,Location
9,amass,army,an army is a thing that you can amass.,Action
10,amass,collect,if you amass something then you collect a lot of it.,Synonym
12,amiable,popular,her amiable character makes her very popular among her friends.,Result-In
13,amiable,warm,an amiable person is very warm and friendly.,HasProperty
14,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Synonym
19,appointment,early,i try to be early for my appointments.,Time
21,appointment,time,an appointment is a scheduled date and time for a meeting.,Time
22,attend,present,attending an event means that you are present at the venue.,Synonym
23,attend,problem,the manager has to attend to the problem immediately.,Action
24,awful,rude,someone very rude would be considered awful.,Synonym
26,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category
31,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty
32,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase
35,belong,group,i like to feel like i belong when i am part of a group.,Emotion-Evaluation
36,biblical,eden,the garden of eden is a biblical place.,Thematic
38,bibliography,source,bibliography contains information of your sources or work.,PartOf
39,bibliography,title ,bibliography contains the titles of the works.,PartOf
40,blender,fruits,my blender mostly blends fruits.,Function
41,bodily,alive,bodily parts are alive.,HasProperty
42,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase
46,break,split,if something breaks then it might be split in two.,Result-In
47,breath,gum,i like to chew gum to keep my breath fresh.,Function
48,breath,inhale,to breath you must inhale.,Action
49,breath,oxygen,when you breath you inhale oxygen.,Result-In
56,bring,carry,"when you bring something, you need to carry it.",Category-Exemplar-Pairs
57,bring,share,people bring dishes to a potluck to share with each other.,Result-In
58,bring,take,you must take the object to bring it with you.,Has-Prerequisite
61,bucket,wash,i use a bucket to wash my car.,Function
62,buddy,together,buddies love to spend time together.,Emotion-Evaluation
63,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store.,Thematic
64,bunch,grapes,i like to set out a bunch of grapes for my family to snack on.,Thematic
65,bunch,roses,you very commonly find roses sold in a bunch.,Thematic
68,career,work,the work you do for the rest of your life is considered your career.,Category-Exemplar-Pairs
69,careful,cautious,someone who is careful is usually cautious.,Synonym
70,careful,safe,"if you want to be careful, then you're trying to be safe.",Synonym
71,carnivore,prey,carnivore animals chase after and eat their prey.,Action
72,carrying,child,sometimes parents can be seen carrying their small child.,Action
78,castle,medieval,a castle is a large building commonly found in the medieval period.,Time
79,castle,stone,a castle is often made of stone.,Material-MadeOf
83,certain,sure,"when someone is sure about something, they are certain.",Synonym
84,champagne,beer,champagne and beer are both alcoholic drinks.,Members-of-the-same-Category
86,change,spare,some people save their spare change in a container.,Common-Phrase
92,chart,visual,a chart is a visual representation of data.,HasProperty
93,chase,run,"running after someone to catch them, is chasing them.",Category-Exemplar-Pairs
94,chase,seek,"when you are chasing someone, you are seeking them.",Synonym
96,chicken,chicks,baby chickens are called chicks.,Category-Exemplar-Pairs
102,classy,elegant,his classy girlfriend always acts in an elegant manner.,Synonym
103,classy,stylist,kelly is classy and loves wearing stylist clothes.,Synonym
109,client,courtesy,customer service representatives need to show courtesy to clients.,Action
