,cue,association,explanation,relation
0,ability,capability,ability is the capability to do a particular job.,Synonym
1,absolute,sure,"if something is absolute, you can be sure about it.",Synonym
2,adept,smart,a smart person is very adept at learning.,HasProperty
3,admiral,chief,admirals and chiefs are leaders in the world.,Members-of-the-same-Category
4,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase
5,agent,person,an agent is a person who acts on behalf of another person.,Thematic
6,agent,represent,she employed an agent to represent her to handle the rental business.,Function
7,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Synonym
8,airport,runway,the runway at the airport is for planes to take off and land.,Location
9,amass,army,an army is a thing that you can amass.,Action
10,amass,collect,if you amass something then you collect a lot of it.,Synonym
11,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Action
12,amiable,popular,her amiable character makes her very popular among her friends.,Result-In
13,amiable,warm,an amiable person is very warm and friendly.,HasProperty
14,anger,mad,"when someone is really mad and yelling, they are having a fit of anger.",Synonym
15,angles,triangle,a triangle has 3 sides and 3 angles.,PartOf
16,angles,triangle,"chris remembered learning all about angles, including triangles, in high school math.",Category-Exemplar-Pairs
17,angles,triangle,the triangle has three angles.,PartOf
18,angles,triangle,triangles have different kinds of angles.,PartOf
19,appointment,early,i try to be early for my appointments.,Time
20,appointment,late,sometimes i am late for my appointment.,Time
21,appointment,time,an appointment is a scheduled date and time for a meeting.,Time
22,attend,present,attending an event means that you are present at the venue.,Synonym
23,attend,problem,the manager has to attend to the problem immediately.,Action
24,awful,rude,someone very rude would be considered awful.,Synonym
25,bagpipe,kilt,men playing bagpipes often wear kilts.,Thematic
26,baked,fried,baked and fried are two ways to prepare food.,Members-of-the-same-Category
27,baked,goods,baked goods are a treat that is often full of sugar.,Common-Phrase
28,baked,goods,the baked goods just came out of the oven.,Common-Phrase
29,baked,goods,the baked goods smelled amazing.,Common-Phrase
30,baked,oven,if something was baked then it was cooked in an oven.,Location
31,bastard,mean,"when a man is mean, he may be called a bastard.",HasProperty
32,beauty,natural,some women are lucky enough to have a natural beauty.,Common-Phrase
33,believable,trustworthy,"for someone to be believable, they must be trustworthy.",Synonym
34,believable,trustworthy,if someone is believable they are trustworthy.,Synonym
35,belong,group,i like to feel like i belong when i am part of a group.,Emotion-Evaluation
36,biblical,eden,the garden of eden is a biblical place.,Thematic
37,bibliography,paper,a bibliography is at the end of an academic paper.,PartOf
38,bibliography,source,bibliography contains information of your sources or work.,PartOf
39,bibliography,title ,bibliography contains the titles of the works.,PartOf
40,blender,fruits,my blender mostly blends fruits.,Function
41,bodily,alive,bodily parts are alive.,HasProperty
42,bodily,excrement,bodily excrements are anything that is not used by the body and removed.,Common-Phrase
43,bodily,warm,bodily parts have a warm temperature.,HasProperty
44,brave,tough,a person that is brave is very tough.,Synonym
45,break,crack,when something breaks it might have a crack in it.,Result-In
46,break,split,if something breaks then it might be split in two.,Result-In
47,breath,gum,i like to chew gum to keep my breath fresh.,Function
48,breath,inhale,to breath you must inhale.,Action
49,breath,oxygen,when you breath you inhale oxygen.,Result-In
50,bridge,drive,driving across really high or old bridges is scary.,Action
51,bright,light,lights can often be bright.,HasProperty
52,bright,light,the light was very bright.,HasProperty
53,bright,smart,"she was bright, the smartest one in her class.",Synonym
54,bright,smart,someone who is bright could also be called smart.,Synonym
55,bright,smart,"when a child is very smart, they are considered very bright.",Synonym
