,subj,obj,relation,explanation,mask_type,subj_new,obj_new,explanation_new,filled_sequence
0,ability,capability,synonym,ability is the capability to do a particular job .,subj,ability,capability,ability is the capability to do a particular job.,ability is the capability to do a particular job.
1,ability,capability,synonym,ability is the capability to do a particular job .,subj,competence,capability,competence is the capability to do a particular job.,competence is the capability to do a particular job.
2,ability,capability,synonym,ability is the capability to do a particular job .,subj,it,capability,it is the capability to do a particular job.,it is the capability to do a particular job.
3,ability,capability,synonym,ability is the capability to do a particular job .,subj,skill,capability,skill is the capability to do a particular job.,skill is the capability to do a particular job.
4,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,capacity,ability is the capacity to do a particular job.,ability is the capacity to do a particular job.
5,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,desire,ability is the desire to do a particular job.,ability is the desire to do a particular job.
6,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,willingness,ability is the willingness to do a particular job.,ability is the willingness to do a particular job.
7,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,capability,ability is the capability to do a particular job.,ability is the capability to do a particular job.
8,ability,capability,synonym,ability is the capability to do a particular job .,subj-rel,it,capability,it is the capability to do a particular job.,"it is the capability to do a particular job., so they have a synonym relation."
9,ability,capability,synonym,ability is the capability to do a particular job .,subj-rel,this,capability,this is the capability to do a particular job.,"this is the capability to do a particular job., so they have a synonym relation."
10,ability,capability,synonym,ability is the capability to do a particular job .,subj-rel,competence,capability,competence is the capability to do a particular job.,"competence is the capability to do a particular job., so they have a synonym relation."
11,ability,capability,synonym,ability is the capability to do a particular job .,subj-rel,skill,capability,skill is the capability to do a particular job.,"skill is the capability to do a particular job., so they have a synonym relation."
12,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,capacity,ability is the capacity to do a particular job.,"ability is the capacity to do a particular job., so they have a synonym relation."
13,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,will,ability is the will to do a particular job.,"ability is the will to do a particular job., so they have a synonym relation."
14,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,desire,ability is the desire to do a particular job.,"ability is the desire to do a particular job., so they have a synonym relation."
15,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,capability,ability is the capability to do a particular job.,"ability is the capability to do a particular job., so they have a synonym relation."
16,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj,wrong,sure,"if something is wrong, you can be sure about it.","if something is wrong, you can be sure about it."
17,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj,missing,sure,"if something is missing, you can be sure about it.","if something is missing, you can be sure about it."
18,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj,there,sure,"if something is there, you can be sure about it.","if something is there, you can be sure about it."
19,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj,different,sure,"if something is different, you can be sure about it.","if something is different, you can be sure about it."
20,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj,off,sure,"if something is off, you can be sure about it.","if something is off, you can be sure about it."
21,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,honest,"if something is absolute, you can be honest about it.","if something is absolute, you can be honest about it."
22,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,quiet,"if something is absolute, you can be quiet about it.","if something is absolute, you can be quiet about it."
23,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,right,"if something is absolute, you can be right about it.","if something is absolute, you can be right about it."
24,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,reasonable,"if something is absolute, you can be reasonable about it.","if something is absolute, you can be reasonable about it."
25,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,quick,"if something is absolute, you can be quick about it.","if something is absolute, you can be quick about it."
26,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj-rel,wrong,sure,"if something is wrong, you can be sure about it.","if something is wrong, you can be sure about it., so they have a synonym relation."
27,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj-rel,different,sure,"if something is different, you can be sure about it.","if something is different, you can be sure about it., so they have a synonym relation."
28,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj-rel,true,sure,"if something is true, you can be sure about it.","if something is true, you can be sure about it., so they have a synonym relation."
29,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj-rel,said,sure,"if something is said, you can be sure about it.","if something is said, you can be sure about it., so they have a synonym relation."
30,absolute,sure,synonym,"if something is absolute , you can be sure about it .",subj-rel,known,sure,"if something is known, you can be sure about it.","if something is known, you can be sure about it., so they have a synonym relation."
31,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj-rel,absolute,sure,"if something is absolute, you can be sure about it.","if something is absolute, you can be sure about it., so they have a synonym relation."
32,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj-rel,absolute,wrong,"if something is absolute, you can be wrong about it.","if something is absolute, you can be wrong about it., so they have a synonym relation."
33,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj-rel,absolute,positive,"if something is absolute, you can be positive about it.","if something is absolute, you can be positive about it., so they have a synonym relation."
34,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj-rel,absolute,clear,"if something is absolute, you can be clear about it.","if something is absolute, you can be clear about it., so they have a synonym relation."
35,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj-rel,absolute,particular,"if something is absolute, you can be particular about it.","if something is absolute, you can be particular about it., so they have a synonym relation."
36,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj,kings,chiefs,kings and chiefs are leaders in the world.,kings and chiefs are leaders in the world.
37,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj,presidents,chiefs,presidents and chiefs are leaders in the world.,presidents and chiefs are leaders in the world.
38,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj,princes,chiefs,princes and chiefs are leaders in the world.,princes and chiefs are leaders in the world.
39,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj,warriors,chiefs,warriors and chiefs are leaders in the world.,warriors and chiefs are leaders in the world.
40,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj,admirals,captains,admirals and captains are leaders in the world.,admirals and captains are leaders in the world.
41,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj,admirals,generals,admirals and generals are leaders in the world.,admirals and generals are leaders in the world.
42,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj,admirals,commanders,admirals and commanders are leaders in the world.,admirals and commanders are leaders in the world.
43,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj,admirals,destroyers,admirals and destroyers are leaders in the world.,admirals and destroyers are leaders in the world.
44,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj,admirals,presidents,admirals and presidents are leaders in the world.,admirals and presidents are leaders in the world.
45,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj-rel,kings,chiefs,kings and chiefs are leaders in the world.,"kings and chiefs are leaders in the world., so they have a members - of - the - same - category relation."
46,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj-rel,presidents,chiefs,presidents and chiefs are leaders in the world.,"presidents and chiefs are leaders in the world., so they have a members - of - the - same - category relation."
47,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,subj-rel,princes,chiefs,princes and chiefs are leaders in the world.,"princes and chiefs are leaders in the world., so they have a members - of - the - same - category relation."
48,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj-rel,admirals,captains,admirals and captains are leaders in the world.,"admirals and captains are leaders in the world., so they have a members - of - the - same - category relation."
49,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj-rel,admirals,generals,admirals and generals are leaders in the world.,"admirals and generals are leaders in the world., so they have a members - of - the - same - category relation."
50,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj-rel,admirals,commanders,admirals and commanders are leaders in the world.,"admirals and commanders are leaders in the world., so they have a members - of - the - same - category relation."
51,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj-rel,admirals,admiral,admirals and admiral are leaders in the world.,"admirals and admiral are leaders in the world., so they have a members - of - the - same - category relation."
52,admirals,chiefs,members-of-the-same-category,admirals and chiefs are leaders in the world .,obj-rel,admirals,ambassadors,admirals and ambassadors are leaders in the world.,"admirals and ambassadors are leaders in the world., so they have a members - of - the - same - category relation."
53,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj,agent,person,an agent is a person who acts on behalf of another person.,an agent is a person who acts on behalf of another person.
54,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj,advocate,person,an advocate is a person who acts on behalf of another person.,an advocate is a person who acts on behalf of another person.
55,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj,administrator,person,an administrator is a person who acts on behalf of another person.,an administrator is a person who acts on behalf of another person.
56,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj,official,person,an official is a person who acts on behalf of another person.,an official is a person who acts on behalf of another person.
57,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj,interpreter,person,an interpreter is a person who acts on behalf of another person.,an interpreter is a person who acts on behalf of another person.
58,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj,agent,persons,an agent is a persons who acts on behalf of another person.,an agent is a persons who acts on behalf of another person.
59,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj,agent,man,an agent is a man who acts on behalf of another person.,an agent is a man who acts on behalf of another person.
60,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj,agent,professional,an agent is a professional who acts on behalf of another person.,an agent is a professional who acts on behalf of another person.
61,agent,person,thematic,an agent is a person who acts on behalf of another person .,obj,agent,being,an agent is a being who acts on behalf of another person.,an agent is a being who acts on behalf of another person.
62,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj-rel,agent,person,an agent is a person who acts on behalf of another person.,"an agent is a person who acts on behalf of another person., so they have a thematic relation."
63,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj-rel,advocate,person,an advocate is a person who acts on behalf of another person.,"an advocate is a person who acts on behalf of another person., so they have a thematic relation."
64,agent,person,thematic,an agent is a person who acts on behalf of another person .,subj-rel,example,person,an example is a person who acts on behalf of another person.,"an example is a person who acts on behalf of another person., so they have a thematic relation."
