,subj,obj,relation,explanation,mask_type,subj_new,obj_new,explanation_new,filled_sequence
0,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,capacity,ability is the capacity to do a particular job.,ability is the capacity to do a particular job.
1,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,desire,ability is the desire to do a particular job.,ability is the desire to do a particular job.
2,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,willingness,ability is the willingness to do a particular job.,ability is the willingness to do a particular job.
3,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,capability,ability is the capability to do a particular job.,ability is the capability to do a particular job.
4,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,motivation,ability is the motivation to do a particular job.,ability is the motivation to do a particular job.
5,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,tendency,ability is the tendency to do a particular job.,ability is the tendency to do a particular job.
6,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,readiness,ability is the readiness to do a particular job.,ability is the readiness to do a particular job.
7,ability,capability,synonym,ability is the capability to do a particular job .,obj,ability,drive,ability is the drive to do a particular job.,ability is the drive to do a particular job.
8,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,capacity,ability is the capacity to do a particular job,"ability is the capacity to do a particular job, so they have a synonym relation."
9,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,desire,ability is the desire to do a particular job,"ability is the desire to do a particular job, so they have a synonym relation."
10,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,willingness,ability is the willingness to do a particular job,"ability is the willingness to do a particular job, so they have a synonym relation."
11,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,capability,ability is the capability to do a particular job,"ability is the capability to do a particular job, so they have a synonym relation."
12,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,tendency,ability is the tendency to do a particular job,"ability is the tendency to do a particular job, so they have a synonym relation."
13,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,motivation,ability is the motivation to do a particular job,"ability is the motivation to do a particular job, so they have a synonym relation."
14,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,need,ability is the need to do a particular job,"ability is the need to do a particular job, so they have a synonym relation."
15,ability,capability,synonym,ability is the capability to do a particular job .,obj-rel,ability,power,ability is the power to do a particular job,"ability is the power to do a particular job, so they have a synonym relation."
16,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,honest,"if something is absolute, you can be honest about it.","if something is absolute, you can be honest about it."
17,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,quiet,"if something is absolute, you can be quiet about it.","if something is absolute, you can be quiet about it."
18,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,right,"if something is absolute, you can be right about it.","if something is absolute, you can be right about it."
19,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,reasonable,"if something is absolute, you can be reasonable about it.","if something is absolute, you can be reasonable about it."
20,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,quick,"if something is absolute, you can be quick about it.","if something is absolute, you can be quick about it."
21,absolute,sure,synonym,"if something is absolute , you can be sure about it .",obj,absolute,wrong,"if something is absolute, you can be wrong about it.","if something is absolute, you can be wrong about it."
