,cue,association,explanation,relation
0,ability,basketball,playing basketball takes a lot of physical ability,UNK
1,ability,capability,ability is the capability to do a particular job.,Synonym
2,ability,employee,i don't under estimate the ability of this employee,UNK
3,ability,engineers,the engineers has the ability to design that factory to be more modern,UNK
4,ability,football,football also takes a lot of physical ability to play,UNK
5,ability,job,i really ability for this job,UNK
6,ability,participate,his ability to participate was called into question.,UNK
7,ability,power,an ability in a game is a power your character has.,UNK
8,ability,run,her ability to run has never been better.,UNK
9,ability,skill,an skill is an ability you have mastered.,UNK
10,ability,skill,i have the ability to cook food as i am skilled at it.,UNK
11,ability,skill,the ability to do something well depends on skill.,UNK
12,ability,skills,his ability enhanced his skills.,UNK
13,ability,succeed,the likelihood i will succeed depends on my ability.,UNK
14,ability,talent,ability is a sort of talen,UNK
15,ability,talent,people noticed his ability and said he was a natural talent.,UNK
16,ability,work,ability to work under pressure,UNK
17,abrasive,agressive,"abrasive is usually short, to the point, and without emotion. abrasive is viewed as agressive, as opposed to passive",UNK
18,abrasive,blunt,an abrasive tone is often blunt with no pleasantries,UNK
19,abrasive,clean,an abrasive product can be used to clean something by scrubbing.,UNK
20,abrasive,hard,an abrasive person is a hard ass.,UNK
21,abrasive,insulting,an abrasive person may insult you.,UNK
22,abrasive,mean,someone who is abrasive is always mean.,UNK
23,abrasive,metal,you use abrasive materials to polish metal,UNK
24,abrasive,personality,the instructor had an abrasive personality.,UNK
25,abrasive,rough,a rough part and an abrasive.,UNK
26,abrasive,rude,"if someone is described as abrasive, they are often also described as rude.",UNK
27,abrasive,rude,the rude person was very abrasive.,UNK
28,abrasive,scrub,i use an abrasive cleanser to scrub the floors.,UNK
29,abrasive,sharp,"if an object is abrasive, it may also be sharp.",UNK
30,abrasive,wear,the abrasive wear is not cool.,UNK
31,abrasive,words,his words were as abrasive as sandpaper to my soul.,UNK
32,abrasive,workshop,abrasive material is used in workshops,UNK
33,absent,away,when you are absent you are away from a situation.,UNK
34,absent,boy,the boy is always absent.,UNK
35,absent,child,the child was absent from math class,UNK
36,absent,class,the class has a lot of absentees,UNK
37,absent,employee,the employee was absent from the workplace,UNK
38,absent,failure ,the absent will be end with result of failure,UNK
39,absent,gone,if someone is absent they are gone,UNK
40,absent,gone,when someone is absent they are gone.,UNK
41,absent,gone,when you are absent from a situation then you are gone.,UNK
42,absent,minded,"she's not absent minded, as she remembers everything.",UNK
43,absent,missing,absent is the synonym of the missing,UNK
44,absent,missing,if you are absent you could be said to be missing.,UNK
45,absent,present,present is the opposite of absent,UNK
46,absent,present,present is the opposite of absent.,UNK
47,absent,present,the opposite of absent is present.,UNK
48,absent,sick,i am sometimes absent from work when i am sick.,UNK
49,absent,student,that student was absent from school today.,UNK
50,absent,student,the student had too many absences.,UNK
51,absent,tardy,he was tardy but not absent.,UNK
52,absent,tardy,"in school, students are marked as tardy or absent.",UNK
53,absolute,clear,the topic is absolutely clear and done right,UNK
54,absolute,complete,if something its absolute then its complete.,UNK
55,absolute,complete,"when something is absolute, it is completed to its greatest form",UNK
56,absolute,confident,you can be confident in things that are absolute.,UNK
57,absolute,corrupts,really absolute power corrupts absolutely,UNK
58,absolute,definite,the absolute positivity of the teacher was definite in nature.,UNK
59,absolute,delight,your cake was an absolute delight.,UNK
60,absolute,filled,he was filled with absolute terror at the sight,UNK
61,absolute,for sure,it is the absolute address for sure without any doubts,UNK
62,absolute,full,when a space is absolute its full.,UNK
63,absolute,math,math is absolute since numbers are concrete and don't leave room for interpretation.,UNK
64,absolute,must,if you must do something then it is absolutely necessary.,UNK
65,absolute,nonsense,the absolute nonsense spewed by the politician was getting on my nerves.,UNK
66,absolute,order,in the military and order is absolute.,UNK
67,absolute,shame,"the team lost at the buzzer, which was an absolute shame",UNK
68,absolute,sure,"if something is absolute, you can be sure about it.",Synonym
69,absolute,true,"again with objects, absolute means in its true form, not mixed.",UNK
70,absolute,undisputed,if something is absolute then it is undisputed.,UNK
71,absolute,vodka,absolute is a type of vodka though spelled differently,UNK
72,absolutely,certainly,one can ask the other if they are absolutely certain of something,UNK
73,absolutely,commanded,absolutely is someone's response after being commanded to do something,UNK
74,absolutely,complete,absolutely is whole and complete.,UNK
75,absolutely,confident,you can be absolutely confident with the way you are.,UNK
76,absolutely,exactly,"i something is absolutely true, it is exactly right.",UNK
77,absolutely,finally,something that is absolutely finished is finally done.,UNK
78,absolutely,insist,insisting something will be absolutely done.,UNK
79,absolutely,regard,one can regard something to be absolutely corect.,UNK
